Year,State,Median Income,Number Employed,Number Unemployed,Number Poverty,Number Families in Poverty,Median Age,Population,Pop: White Only,Pop: Black Only,Pop: American Indian Only,Pop: Native Hawaiian Only,Pop: Two or More Races,Pop: Hispanic Origin,Median Home Value,Median Gross Rent,Commute Time: Public Transit,Commute Time: Solo Auto,Commute Time: Walking,Transit: Solo Auto,Transit: Public Transit,Transit: Walking,state,Unemployment Rate,Poverty Rate,Pop Rate: White Only,Pop Rate: Black Only,Pop Rate: American Indian Only,Pop Rate: Native Hawaiian Only,Pop Rate: Two or More Races,Pop Rate: Hispanic Origin,ICPSR State Code,Alphanumeric State Code,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2016,Delaware,61757.0,444321,26678,108211,18768,40.6,952065.0,659091.0,209911.0,35646.0,2053.0,15595.0,25714.0,243400.0,1048.0,9095060.0,565705.0,87115.0,355814.0,11758.0,8167.0,10,0.05664130921721702,0.11365925645833005,0.6922752123016811,0.22047969413853047,0.037440720959178206,0.002156365374212895,0.01638018412608383,0.027008660122995805,11,8,0.644,0.642,0.5920000000000001,445228.0,443814.0,691720,749872
2016,District of Columbia,75506.0,364797,27119,120308,16834,33.9,681170.0,277268.0,320554.0,26436.0,41.0,37132.0,17735.0,576100.0,1376.0,3417505.0,5155135.0,856220.0,119642.0,130451.0,49514.0,11,0.06919595015258372,0.17661963973751046,0.4070466990619082,0.4705932439772744,0.03880969508345934,6.0190554487132436e-05,0.054512089493078085,0.02603608497144619,55,9,0.607,0.604,0.5539999999999999,312575.0,311268.0,515248,562329
2014,Alabama,42830.0,2030482,190233,910175,184841,38.6,4849377.0,3320273.0,1291826.0,58456.0,1446.0,69859.0,84964.0,125600.0,717.0,,,,1724178.0,8276.0,22961.0,01,0.08566295089644552,0.18768905779030998,0.6846803207917224,0.26639009505757133,0.01205433192758575,0.0002981826325319727,0.014405767998652197,0.017520601099893864,41,1,0.332,0.329,0.315,1191274.0,1180413.0,3588783,3751844
2014,Alaska,71583.0,352531,29164,80627,12999,33.3,736732.0,483584.0,24790.0,43915.0,8395.0,9967.0,62808.0,254500.0,1183.0,4411345.0,121210.0,202725.0,249481.0,4703.0,28730.0,02,0.07640655497190164,0.10943871041301315,0.6563906549464391,0.0336485994907239,0.059607835685160954,0.01139491701188492,0.013528664426141392,0.08525216768105634,81,2,0.5479999999999999,0.542,0.51,285431.0,282382.0,520562,553473
2014,Arizona,50068.0,2866629,247005,1199061,209001,36.9,6731484.0,5273335.0,280518.0,212116.0,12721.0,433934.0,224103.0,176700.0,916.0,51903560.0,2626860.0,654585.0,2178267.0,57615.0,56505.0,04,0.07933013321411572,0.17812728961399893,0.7833837234107665,0.04167253461495266,0.03151103085144375,0.0018897764593958776,0.06446334864645002,0.0332917674616771,61,3,0.341,0.334,0.295,1537671.0,1506416.0,4510186,5110890
2014,Arkansas,41262.0,1269092,91977,543882,104138,37.8,2966369.0,2322472.0,468231.0,36555.0,7148.0,50385.0,64487.0,112500.0,683.0,,,,1031366.0,4072.0,22173.0,05,0.06757702952605636,0.18334940797992427,0.7829342876762804,0.15784651201519434,0.012323146580887274,0.00240967998249712,0.01698541213180154,0.021739372276341883,42,4,0.403,0.401,0.375,852642.0,848592.0,2117881,2263040
2014,California,61933.0,17638152,1638567,6259098,1067419,36.0,38802500.0,23814044.0,2259681.0,5398090.0,150072.0,5114193.0,1779789.0,412700.0,1268.0,338006435.0,45766310.0,6096775.0,12679198.0,914442.0,467779.0,06,0.08500238033246219,0.16130656529862766,0.6137244765156884,0.0582354487468591,0.1391170671992784,0.0038675858514270987,0.13180060563108048,0.04586789510985117,71,5,0.307,0.299,0.247,7513972.0,7317581.0,24440416,29646675
2014,Colorado,61303.0,2699282,155638,630786,105560,36.3,5355866.0,4520381.0,215446.0,157958.0,6679.0,215290.0,184328.0,255200.0,1020.0,49410970.0,4075530.0,794680.0,2027739.0,88355.0,71357.0,08,0.05451571322488896,0.11777479122890677,0.8440056192593317,0.04022617444125749,0.02949252277782902,0.0012470438954223276,0.04019704749894788,0.03441609629516496,62,6,0.547,0.537,0.494,2080071.0,2041020.0,3800664,4128890
2014,Connecticut,70048.0,1798758,154069,374772,66949,40.5,3596677.0,2763949.0,371857.0,151402.0,1019.0,197532.0,103833.0,267200.0,1076.0,33021155.0,4954300.0,640880.0,1379348.0,84731.0,55459.0,09,0.07889536553929252,0.10419951527479393,0.7684729543409097,0.10338904494342972,0.042094967104357714,0.0002833170729537292,0.05492069485249857,0.02886914782728613,1,7,0.425,0.423,0.385,1096556.0,1089880.0,2577311,2828791
2014,Delaware,59716.0,441144,31847,113508,19733,39.6,935614.0,647533.0,203326.0,36172.0,216.0,20966.0,24117.0,230500.0,1024.0,8524915.0,599665.0,114590.0,354350.0,12635.0,9709.0,10,0.0673310908664224,0.12131926200334753,0.6920941755895059,0.21731825304024951,0.0386612427774702,0.0002308644376847717,0.022408813891198722,0.025776655757609443,11,8,0.349,0.343,0.318,238110.0,234038.0,681526,735156
